course_id,course_title,url,price,level,content_duration,subject
58977,Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,95,Beginner Level,35 mins,Business Finance
1242604,Winning Forex Trading with Live Forex Trading Examples,https://www.udemy.com/forexmacross/,200,All Levels,2 hours,Business Finance
798740,Forex Traders - Create Your First Trading Robot. No Coding!,https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/,200,All Levels,4 hours,Business Finance
506568,Create A Business From Home Trading Stocks Today In 2017,https://www.udemy.com/work-from-home-buying-penny-stocks/,75,All Levels,2 hours,Business Finance
1020760,Introduction to Accounting : Mastering Financial Statements,https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/,50,Beginner Level,1 hour,Business Finance
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,https://www.udemy.com/ethereum/,45,All Levels,2 hours,Business Finance
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,150,All Levels,5 hours,Business Finance
353044,Investing 101: The Complete Online Investing Course,https://www.udemy.com/online-investing-guide/,200,All Levels,4.5 hours,Business Finance
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,https://www.udemy.com/create-your-own-hedge-fund-double-your-money-every-year/,175,Intermediate Level,2 hours,Business Finance
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),https://www.udemy.com/learn-mql5/,150,All Levels,4.5 hours,Business Finance
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,https://www.udemy.com/forex-trading-your-complete-guide-to-get-started-like-a-pro/,140,Beginner Level,3 hours,Business Finance
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,95,Beginner Level,2.5 hours,Business Finance
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,200,All Levels,1.5 hours,Business Finance
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,45,All Levels,6.5 hours,Business Finance
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,200,All Levels,2 hours,Business Finance
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,200,All Levels,1.5 hours,Business Finance
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,195,Intermediate Level,10 hours,Business Finance
308690,Forex Trading A-Z邃｢ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,195,Beginner Level,5.5 hours,Business Finance
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,200,All Levels,4.5 hours,Business Finance
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,195,All Levels,7.5 hours,Business Finance
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,195,All Levels,5.5 hours,Business Finance
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,195,All Levels,10 hours,Business Finance
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,195,All Levels,6.5 hours,Business Finance
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,195,Beginner Level,11.5 hours,Business Finance
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,115,Intermediate Level,1 hour,Business Finance
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,200,All Levels,16 hours,Business Finance
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,150,All Levels,3 hours,Business Finance
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,95,All Levels,5 hours,Business Finance
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,200,All Levels,5.5 hours,Business Finance
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,190,All Levels,5 hours,Business Finance
848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,150,All Levels,2 hours,Business Finance
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,200,Expert Level,2 hours,Business Finance
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,95,All Levels,3 hours,Business Finance
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,125,Intermediate Level,2 hours,Business Finance
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,30,All Levels,1 hour,Business Finance
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,200,All Levels,1.5 hours,Business Finance
358326,Dividend Investing: Build Your Portfolio for a Better Future,https://www.udemy.com/dividend-investing/,60,Beginner Level,4 hours,Business Finance
153210,Learn Accounting. Understand Business.,https://www.udemy.com/learn-accounting-understand-business/,200,Beginner Level,5.5 hours,Business Finance
834836,How to Consistently Win Trading Stocks in 30 Days or Less,https://www.udemy.com/winningstocktrades/,145,Intermediate Level,1 hour,Business Finance
1171994,A Beginner's Guide to Quantopian Futures API,https://www.udemy.com/quantopian-futures/,20,Intermediate Level,1.5 hours,Business Finance
1239068,How to Buy Cheap Options - Options Trading Pricing Model,https://www.udemy.com/options-black-scholes-model/,200,All Levels,1 hour,Business Finance
985922,Excel Crash Course: Master Excel for Financial Analysis,https://www.udemy.com/excel-crash-course-master-excel-for-financial-analysis/,105,All Levels,3.5 hours,Business Finance
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",https://www.udemy.com/financial-markets-a-to-z-for-beginners/,60,Beginner Level,9 hours,Business Finance
165964,Stock Trading Ninja: Complete System For Trading Success,https://www.udemy.com/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,155,All Levels,4.5 hours,Business Finance
855172,Hedge and Mutual Fund Careers: The Complete Guide,https://www.udemy.com/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,200,All Levels,8.5 hours,Business Finance
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,185,All Levels,6.5 hours,Business Finance
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/,150,All Levels,5.5 hours,Business Finance
43319,Options Trading Basics (3-Course Bundle),https://www.udemy.com/learn-options-trading-courses/,180,Beginner Level,11 hours,Business Finance
408440,How to Win 97% of Your Options Trades,https://www.udemy.com/how-to-win-97-percent-of-your-trades/,125,All Levels,1.5 hours,Business Finance
918688,How I Make Consistent Returns Trading Options,https://www.udemy.com/how-i-make-15-per-month-trading-options/,200,All Levels,3.5 hours,Business Finance
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",https://www.udemy.com/money-management/,185,All Levels,3 hours,Business Finance
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",https://www.udemy.com/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,125,All Levels,5 hours,Business Finance
401784,Options Trading Introduction: Day Trade Stock Options,https://www.udemy.com/how-to-trade-stock-options-level-1-start-day-trading/,95,Beginner Level,2.5 hours,Business Finance
1122792,The Almost Perfect Options Trading Strategy System - Unique,https://www.udemy.com/the-almost-perfect-options-trading-strategy-system-unique/,200,All Levels,1 hour,Business Finance
709500,Forex Trading -  Learn to Trade Forex Like the Banks,https://www.udemy.com/forex-trading-learn-the-same-strategies-used-by-banks/,20,All Levels,1 hour,Business Finance
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,https://www.udemy.com/introduction-to-japanese-candlesticks/,60,Beginner Level,3 hours,Business Finance
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,https://www.udemy.com/the-most-powerful-options-spread-trading-front-ratio-spread/,200,All Levels,2 hours,Business Finance
834558,What Finance Job is for You? Explanation of 14 Finance Roles,https://www.udemy.com/what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles/,200,All Levels,4 hours,Business Finance
551968,The Blueprint for Successful Stock Trading,https://www.udemy.com/stock-market-millionaire-blueprint/,120,All Levels,1 hour,Business Finance
1005658,Trading for Beginners - Intermediate Level,https://www.udemy.com/trading-for-beginners-tier-2/,150,Beginner Level,5 hours,Business Finance
746432,Start Trading Stocks Using Technical Analysis!,https://www.udemy.com/professional-stock-trader/,25,All Levels,4 hours,Business Finance
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,https://www.udemy.com/hedge-fund-startup/,200,Expert Level,1.5 hours,Business Finance
284118,VPS for Forex Trading - Protect Your Forex Robots,https://www.udemy.com/forex-vps/,160,All Levels,2 hours,Business Finance
302562,Introduction to Accounting: The Language of Business,https://www.udemy.com/learnaccountingforfree/,20,Beginner Level,11.5 hours,Business Finance
596598,Basic Excel for Basic Bookkeeping and Accounting,https://www.udemy.com/basic-excel-for-basic-bookkeeping/,95,Beginner Level,1.5 hours,Business Finance
860890,"Using 'The Greeks To Understand Options""",https://www.udemy.com/options-greeks/,50,All Levels,1 hour,Business Finance
951050,Trading Options For Consistent Returns: Calendar Spreads,https://www.udemy.com/trading-options-for-consistent-returns-calendar-spreads/,200,All Levels,1.5 hours,Business Finance
796450,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,20,All Levels,1 hour,Business Finance
502772,The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,200,All Levels,4.5 hours,Business Finance
1102462,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,195,Beginner Level,1 hour,Business Finance
1062092,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,200,All Levels,1.5 hours,Business Finance
891484,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,20,Intermediate Level,2.5 hours,Business Finance
1217064,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,20,Beginner Level,42 mins,Business Finance
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,95,All Levels,9.5 hours,Business Finance
1259560,Test your knowledge in Basics of Accounting,https://www.udemy.com/test-your-knowledge-in-basics-of-accounting/,30,Beginner Level,218 questions,Business Finance
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,150,Beginner Level,5 hours,Business Finance
1270254,Test your Knowledge in Cost Accounting,https://www.udemy.com/test-your-knowledge-in-cost-accounting/,30,All Levels,18 questions,Business Finance
474928,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,40,All Levels,1 hour,Business Finance
1148774,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,0,Beginner Level,33 mins,Business Finance
959144,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,20,Intermediate Level,3 hours,Business Finance
1233350,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,100,Beginner Level,1.5 hours,Business Finance
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,75,All Levels,5.5 hours,Business Finance
724062,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,20,Beginner Level,2 hours,Business Finance
474212,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,40,All Levels,1.5 hours,Business Finance
771276,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,20,Beginner Level,1.5 hours,Business Finance
388164,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,25,All Levels,1.5 hours,Business Finance
133536,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,0,Beginner Level,1.5 hours,Business Finance
655300,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,50,Beginner Level,1.5 hours,Business Finance
949504,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,200,All Levels,1 hour,Business Finance
265960,Fundamentals of Forex Trading,https://www.udemy.com/fundamentals-of-forex-trading/,0,All Levels,1 hour,Business Finance
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",https://www.udemy.com/learn-trading-binary-options-from-scratch-and-3-strategies/,195,Beginner Level,1 hour,Business Finance
923616,Website Investing 101 - Buying & Selling Online Businesses,https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/,0,All Levels,2 hours,Business Finance
741898,Practical Accounts & Bookkeeping Automated Overview ,https://www.udemy.com/practical-accounts-bookkeeping-automated-overview/,20,All Levels,4.5 hours,Business Finance
381330,Live Account - ETF Trading System - Hacking The Stock Market,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,150,All Levels,5 hours,Business Finance
545918,Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,95,Beginner Level,1.5 hours,Business Finance
191854,Stock Market Foundations,https://www.udemy.com/how-to-invest-in-the-stock-market-beginners/,0,Beginner Level,2 hours,Business Finance
471546,Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,20,All Levels,1 hour,Business Finance
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,150,All Levels,62 hours,Business Finance
889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,20,All Levels,1.5 hours,Business Finance
1191504,How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,25,All Levels,8 mins,Business Finance
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,150,All Levels,41 mins,Business Finance
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,50,Beginner Level,2.5 hours,Business Finance
151668,Introduction to Financial Modeling,https://www.udemy.com/financial-modeling-asimplemodel/,0,Intermediate Level,1.5 hours,Business Finance
1105344,Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,50,All Levels,3 hours,Business Finance
44836,Option Spreads and Credit Spreads Bundle,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,180,Expert Level,4.5 hours,Business Finance
840300,B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,50,All Levels,31.5 hours,Business Finance
1100054,FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,100,All Levels,3.5 hours,Business Finance
421054,Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,25,All Levels,2.5 hours,Business Finance
528784,Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,200,Intermediate Level,3 hours,Business Finance
637430,Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,20,Intermediate Level,33 mins,Business Finance
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,90,Expert Level,1 hour,Business Finance
777444,Corporate Finance - A Brief Introduction,https://www.udemy.com/finance-a-brief-introduction-and-basics-finance-101/,0,Beginner Level,1.5 hours,Business Finance
474238,Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,20,Intermediate Level,2 hours,Business Finance
1245244,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,35,Beginner Level,1 hour,Business Finance
1051570,Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,50,All Levels,2.5 hours,Business Finance
262370,Accounting: Get Hired Without Work Experience,https://www.udemy.com/accounting-get-hired-without-work-experience/,100,All Levels,1 hour,Business Finance
1188178,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,50,All Levels,1 hour,Business Finance
824592,Basic Bookkeeping Hacks,https://www.udemy.com/basic-bookkeeping/,20,All Levels,1.5 hours,Business Finance
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,200,All Levels,9.5 hours,Business Finance
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,200,Beginner Level,1 hour,Business Finance
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",https://www.udemy.com/investment-banking-mergers-ipo-financial-model-business-mba-pro-forma/,60,All Levels,20 hours,Business Finance
252396,How to Pick The Right Penny Stocks To Invest In 2017,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,150,All Levels,2.5 hours,Business Finance
1198166,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,20,All Levels,1 hour,Business Finance
920604,Intro to Financial Modeling,https://www.udemy.com/intro-to-financial-modeling/,105,Beginner Level,6 hours,Business Finance
215728,Shark Accounting - Building a Business by the Numbers!,https://www.udemy.com/shark-accounting/,20,Beginner Level,1.5 hours,Business Finance
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,150,All Levels,4 hours,Business Finance
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,Beginner Level,1.5 hours,Business Finance
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,https://www.udemy.com/sap-fico-for-sap-beginners/,100,Beginner Level,5 hours,Business Finance
317030,Learn how to double your Forex Trading Account in one trade,https://www.udemy.com/learn-how-to-double-your-forex-trading-account-in-one-trade/,60,Intermediate Level,2.5 hours,Business Finance
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",https://www.udemy.com/accounting-basics-for-success-in-business-and-in-life/,200,Beginner Level,2.5 hours,Business Finance
1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,200,Intermediate Level,3 hours,Business Finance
812616,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,20,All Levels,1.5 hours,Business Finance
407984,Financial Model Basics: Build a model from start to finish,https://www.udemy.com/financial-model-basics-build-a-model-from-start-to-finish/,30,Beginner Level,1 hour,Business Finance
214046,Option Trading for Rookies: The Covered Call Option Strategy,https://www.udemy.com/option-trading-for-rookies-investing-the-profitable-way/,95,Beginner Level,1.5 hours,Business Finance
512400,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,95,All Levels,1.5 hours,Business Finance
377370,Learn to Trade the Stock Market without Blowing Your Profits,https://www.udemy.com/learn-to-trade-the-stock-market-without-blowing-your-profits/,60,All Levels,1 hour,Business Finance
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,20,Beginner Level,3 hours,Business Finance
945750,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,20,All Levels,3 hours,Business Finance
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,200,All Levels,3.5 hours,Business Finance
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,125,Intermediate Level,1 hour,Business Finance
402836,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,200,Beginner Level,2 hours,Business Finance
588764,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,200,All Levels,4.5 hours,Business Finance
576946,Introduction to bookkeeping and Accounting,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,35,Beginner Level,1 hour,Business Finance
543242,Learn to Trade The News,https://www.udemy.com/learn-to-trade-the-news/,200,All Levels,46.5 hours,Business Finance
502240,"Value Investing, Taught by Six Superinvestors",https://www.udemy.com/investing-stars/,200,All Levels,5 hours,Business Finance
598266,Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,120,Beginner Level,4 hours,Business Finance
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,195,All Levels,2.5 hours,Business Finance
1076920,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,125,Beginner Level,3 hours,Business Finance
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,200,All Levels,1 hour,Business Finance
441112,Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,25,All Levels,1.5 hours,Business Finance
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",https://www.udemy.com/taxaccounting/,200,All Levels,2 hours,Business Finance
1028030,Analysis of Company Financial Statements,https://www.udemy.com/analysis-of-company-financial-statements/,20,All Levels,1.5 hours,Business Finance
1018380,Forex Trading Like Banks 窶・Step by Step with Live Examples,https://www.udemy.com/forex-trading-like-banks-step-by-step-with-live-examples/,195,All Levels,4.5 hours,Business Finance
575676,Fundamentals of Investing!,https://www.udemy.com/investment-basics-lets-invest-series/,20,Beginner Level,2 hours,Business Finance
1105216,Bank Financial Management A Comprehensive Study,https://www.udemy.com/bank-financial-management-a-comprehensive-study/,50,All Levels,1.5 hours,Business Finance
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,https://www.udemy.com/tradeforex/,200,All Levels,2 hours,Business Finance
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",https://www.udemy.com/master-technical-analysis-and-chart-reading-skills-bundle/,120,All Levels,3 hours,Business Finance
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,https://www.udemy.com/naked-put-options-trade-covered-call-poor-man-covered-call/,200,All Levels,1.5 hours,Business Finance
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,https://www.udemy.com/investing-learn-how-to-build-a-dividend-portfolio-step-by-step/,200,All Levels,5.5 hours,Business Finance
625568,Charting for Beginners 101: Technical Analysis Demystified,https://www.udemy.com/charting-for-beginners-101/,45,All Levels,1.5 hours,Business Finance
297742,Build a DCF Valuation Model,https://www.udemy.com/build-a-dcf-valuation-model/,50,All Levels,5.5 hours,Business Finance
24877,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,80,Beginner Level,10 hours,Business Finance
1188742,Introduction to Cryptocurrencies and Blockchain,https://www.udemy.com/introduction-to-cryptocurrencies/,0,Beginner Level,2 hours,Business Finance
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,https://www.udemy.com/make-consistent-profit-using-pullback-candlestick-strategy/,200,All Levels,3 hours,Business Finance
415802,Accounting Standards Basics (Professional Course Level),https://www.udemy.com/basics-of-accounting-standards/,20,All Levels,42 mins,Business Finance
323950,Use the Magic Multiple Moving Average Forex Trading system,https://www.udemy.com/the-magic-multiple-moving-average-forex-trading-system/,50,Intermediate Level,1 hour,Business Finance
488818,QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,200,Beginner Level,6 hours,Business Finance
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,https://www.udemy.com/trading-psychology-trading-mindset-mastery/,120,Intermediate Level,1 hour,Business Finance
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,https://www.udemy.com/option-trading-selling-strangles/,145,All Levels,1.5 hours,Business Finance
599684,Profitable binary option trading strategy,https://www.udemy.com/binaryoptions/,195,All Levels,1.5 hours,Business Finance
332848,Tax Strategy: Financial Planning for Beginners,https://www.udemy.com/taxsavingstrategy/,200,All Levels,2 hours,Business Finance
354324,Accounting 2 Simplified for You,https://www.udemy.com/accounting-2-simplified-for-you/,45,Beginner Level,5 hours,Business Finance
